
澶棰戦亾,#genre#
鍐滄灄鍗,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000266003/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266003
鍏靛洟鍗,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000266005/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266005
瀹夊鍗,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000266001/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266001
鍘﹂棬鍗,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000266006/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266006
搴峰反鍗,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000266002/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266002
澶ф咕鍖哄崼瑙�,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000011619/index.m3u8
CETV-1,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000002000002652/index.m3u8?channel-id=bestzb&Contentid=5000000002000002652&livemode=1&stbId=3
CETV-4,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031126/index.m3u8?channel-id=bestzb&Contentid=5000000011000031126&livemode=1&stbId=3

鏁板瓧棰戦亾,#genre#
灞变笢鏁欒偛,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000002000004097/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000004097
绾疄浜烘枃,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000010282/index.m3u8?channel-id=bestzb&Contentid=5000000004000010282&livemode=1&stbId=3
绾疄绉戞暀,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000001910/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001910&livemode=1&stbId=3
鍔茬垎浣撹偛,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSessionId=OTT19019320240419154124000281
涔愭父棰戦亾,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031112/1.m3u8
娆㈢瑧鍓у満 4K,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000007000010001/index.m3u8?channel-id=bestzb&Contentid=5000000007000010001&livemode=1&stbId=3
閮藉競鍓у満,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031111/index.m3u8?channel-id=bestzb&Contentid=5000000011000031111&livemode=1&stbId=3
閲戦拱鍗￠€�,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000006000040024/index.m3u8?channel-id=bestzb&Contentid=5000000006000040024&livemode=1&stbId=3
閲戦拱绾疄,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031203/1.m3u8
蹇箰鍨傞挀,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031206/index.m3u8?channel-id=bestzb&Contentid=5000000011000031206&livemode=1&stbId=3
鑼跺弸棰戦亾,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031209/1.m3u8
鍔ㄦ极绉€鍦�,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
鍢変匠鍗￠€�,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000025964/1.m3u8
鍝掑暤璧涗簨,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000006906/index.m3u8?channel-id=ystenlive&Contentid=1000000001000006906&livemode=1&stbId=3
鍝掑暤鐢电珵,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000003000000066/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000066&IASHttpSessionId=OTT19019320240419154124000281
浼樻极鍗￠€�,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000010063/1.m3u8
鍝堝搱鐐姩,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000000172/1.m3u8
榛戣帗鍔ㄧ敾,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000004000021734/index.m3u8?channel-id=ystenlive&Contentid=1000000004000021734&livemode=1&stbId=3
榛戣帗鐢靛奖,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000004000019624/index.m3u8?channel-id=ystenlive&Contentid=1000000004000019624&livemode=1&stbId=3
姹傜储绾綍,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000010/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000010&IASHttpSessionId=OTT19019320240419154124000281
姹傜储鐢熸椿,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000008&IASHttpSessionId=OTT19019320240419154124000281
姹傜储鍔ㄧ墿,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000009/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000009&IASHttpSessionId=OTT19019320240419154124000281
姹傜储绉戝,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000011/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000011&IASHttpSessionId=OTT19019320240419154124000281
榄呭姏瓒崇悆,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000011000031207/index.m3u8?channel-id=bestzb&Contentid=5000000011000031207&livemode=1&stbId=3
涓浗澶╂皵,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000005000031974/index.m3u8?channel-id=bestzb&Contentid=5000000005000031974&livemode=1&stbId=3

鍩嬪爢鍫�,#genre#
鍩嬪爢鍫�1,http://www.52sw.top:678/play/huya.php?id=23903123
鍩嬪爢鍫�2,http://www.52sw.top:678/play/huya.php?id=23734169
鍩嬪爢鍫�3,http://www.52sw.top:678/play/huya.php?id=23735126
鍩嬪爢鍫�4,http://www.52sw.top:678/play/huya.php?id=23865152
鍩嬪爢鍫�5,http://www.52sw.top:678/play/huya.php?id=23903130
鍩嬪爢鍫�6,http://www.52sw.top:678/play/huya.php?id=23740156

